City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,17.16,87,100,6.17,US,1742152335
1,korla,41.7597,86.1469,3.42,27,100,1.46,CN,1742152336
2,itoman,26.1247,127.6694,14.21,67,75,10.8,JP,1742152338
3,chonchi,-42.6128,-73.8092,17.29,62,100,0.55,CL,1742152339
4,port elizabeth,-33.918,25.5701,19.06,96,94,4.92,ZA,1742152341
5,port mathurin,-19.6833,63.4167,27.93,77,24,3.9,MU,1742152343
6,nuku'alofa,-21.1333,-175.2,24.19,100,100,2.57,TO,1742152345
7,stanley,54.868,-1.6985,5.85,86,75,3.6,GB,1742152346
8,waitangi,-43.9535,-176.5597,16.57,93,26,3.58,NZ,1742152347
9,saurimo,-9.6608,20.3916,19.04,93,100,1.25,AO,1742152349
10,ushuaia,-54.8,-68.3,13.17,55,51,2.57,AR,1742152350
11,ad dabbah,18.05,30.95,28.67,16,64,4.37,SD,1742152352
12,vadso,70.0744,29.7487,-6.91,86,40,8.75,NO,1742152353
13,aroma,15.8167,36.1333,32.19,18,80,2.73,SD,1742152355
14,avarua,-21.2078,-159.775,29.03,79,40,4.12,CK,1742152357
15,invercargill,-46.4,168.35,19.84,55,100,4.4,NZ,1742152359
16,salinopolis,-0.6136,-47.3561,24.97,93,100,3.01,BR,1742152361
17,college,64.8569,-147.8028,-12.66,66,75,2.06,US,1742152362
18,el quebrachal,-25.2833,-64.0667,23.57,74,99,3.16,AR,1742152364
19,jamestown,42.097,-79.2353,15.57,91,100,9.39,US,1742152365
20,adamstown,-25.066,-130.1015,24.69,80,26,4.43,PN,1742152367
21,novi pazar,43.1367,20.5122,10.04,60,2,3.64,RS,1742152368
22,colonia,50.9333,6.95,7.19,49,0,3.09,DE,1742152369
23,ribeira grande,38.5167,-28.7,15.22,72,40,12.86,PT,1742152371
24,ust-nera,64.5667,143.2,-35.04,97,56,0.9,RU,1742152372
25,baiona,43.4833,-1.4833,8.3,71,75,1.54,FR,1742152374
26,levuka,50.1834,-105.4011,-7.46,87,100,4.38,CA,1742152375
27,port-aux-francais,-49.35,70.2167,5.93,68,6,9.11,TF,1742152376
28,port hedland,-20.3167,118.5667,28.03,83,40,4.63,AU,1742152378
29,aykhal,66.0,111.5,-2.6,86,63,8.38,RU,1742152379
30,kapuskasing,49.4169,-82.4331,-9.95,85,100,6.17,CA,1742152381
31,sola,-13.8833,167.55,27.8,79,13,4.86,VU,1742152382
32,georgetown,5.4112,100.3354,28.96,74,20,2.06,MY,1742152350
33,chandbali,20.7833,86.7667,23.51,86,0,3.49,IN,1742152385
34,apolinario saravia,-24.4328,-63.9954,20.23,93,100,1.74,AR,1742152387
35,edinburgh of the seven seas,-37.0676,-12.3116,20.04,95,100,14.29,SH,1742152388
36,kirakira,-10.4544,161.9205,26.62,86,100,4.01,SB,1742152390
37,susuman,62.7833,148.1667,-29.92,100,100,0.84,RU,1742152391
38,bilibino,68.0546,166.4372,-31.34,87,14,1.88,RU,1742152393
39,papatowai,-46.5619,169.4708,15.99,71,100,2.9,NZ,1742152394
40,la passe,45.5549,-0.8967,3.94,84,100,2.31,FR,1742152396
41,albany,42.6001,-73.9662,18.49,78,100,3.58,US,1742152293
42,grytviken,-54.2811,-36.5092,4.25,78,7,5.35,GS,1742152400
43,lambarene,-0.7001,10.2406,25.82,91,99,2.12,GA,1742152402
44,iqaluit,63.7506,-68.5145,-16.15,71,75,2.57,CA,1742152405
45,rio grande,-32.035,-52.0986,23.74,62,85,5.64,BR,1742152406
46,orosi,36.5449,-119.2873,17.12,62,20,3.13,US,1742152410
47,westport,41.1415,-73.3579,16.82,87,100,8.23,US,1742152411
48,ciudad lazaro cardenas,17.9583,-102.2,28.42,52,7,4.39,MX,1742152413
49,olonkinbyen,70.9221,-8.7187,-2.04,96,100,10.73,SJ,1742152414
50,hamilton,39.1834,-84.5333,10.05,88,100,8.23,US,1742152011
51,longyearbyen,78.2186,15.6401,-17.09,66,75,4.63,SJ,1742152417
52,port lincoln,-34.7333,135.8667,15.89,57,12,7.97,AU,1742152418
53,avon,41.4517,-82.0354,14.95,75,100,10.29,US,1742151846
54,west island,-12.1568,96.8225,27.99,83,40,5.66,CC,1742152421
55,bredasdorp,-34.5322,20.0403,19.26,82,100,1.79,ZA,1742152422
56,caleta de carquin,-11.0925,-77.6267,24.84,72,83,5.52,PE,1742152424
57,tazacorte,28.629,-17.9293,20.54,92,40,2.57,ES,1742152425
58,talara,-4.5772,-81.2719,30.42,54,0,5.14,PE,1742152428
59,coquimbo,-29.9533,-71.3436,21.66,59,20,6.17,CL,1742152313
60,iskateley,67.6803,53.1512,-8.3,86,10,10.06,RU,1742152433
61,isafjordur,66.0755,-23.124,3.28,91,86,5.41,IS,1742152435
62,don luan,11.5333,106.9167,23.86,74,100,1.44,VN,1742152436
63,andergrove,-21.0833,149.1833,25.14,83,100,3.12,AU,1742152438
